id;partnerctid;vasarlasid;mennyiseg;brutto;partnerid
66187970;20875;66187968;1.0;239.0;2011068
66188560;20875;66188548;25.0;5975.0;2011068
66190007;20702;66189974;1.0;199.0;2011068
66190009;20702;66189974;1.0;199.0;2011068
66190833;11873;66190824;3.0;310.0;2011068
66191522;20875;66191514;24.0;4776.0;2011068
66191521;46134207;66191514;24.0;4558.0;2011068
66191662;20875;66191661;16.0;3184.0;2011068
66191678;19093;66191677;1.0;599.0;2011068
66192155;46134207;66192135;1.0;209.0;2011068
66192156;46134207;66192135;1.0;209.0;2011068
66192157;46134207;66192135;1.0;209.0;2011068
66192158;46134207;66192135;1.0;209.0;2011068
66192159;46134207;66192135;1.0;209.0;2011068
66192160;46134207;66192135;1.0;209.0;2011068
66193066;11873;66193054;10.0;1033.0;2011068
66193119;20702;66193054;8.0;1479.0;2011068
66193301;10409;66193285;1.0;189.0;2011068
66193302;10409;66193285;1.0;189.0;2011068
66193372;20875;66193363;24.0;4776.0;2011068
66193664;10409;66193637;1.0;269.0;2011068
66193649;20875;66193637;1.0;239.0;2011068
66193675;20875;66193637;1.0;239.0;2011068
66193643;46134207;66193637;1.0;269.0;2011068
66193669;46134207;66193637;1.0;269.0;2011068
66193760;46134207;66193758;1.0;269.0;2011068
66193766;46134207;66193758;1.0;269.0;2011068
66194229;20875;66194227;1.0;239.0;2011068
66194234;20875;66194227;1.0;239.0;2011068
66194239;20875;66194227;1.0;239.0;2011068
66194523;12800;66194521;1.0;239.0;2011068
66194668;46134207;66194667;10.0;2690.0;2011068
66195898;20702;66195894;1.0;199.0;2011068
66196241;46134207;66196237;1.0;269.0;2011068
66196242;46134207;66196237;1.0;269.0;2011068
66196249;46134207;66196237;1.0;269.0;2011068
66196251;46134207;66196237;1.0;269.0;2011068
66196253;46134207;66196237;-1.0;-269.0;2011068
66196968;20875;66196963;1.0;239.0;2011068
66196970;20875;66196963;1.0;239.0;2011068
66196971;20875;66196963;1.0;239.0;2011068
66196990;42109869;66196989;1.0;269.0;2011068
66196994;42109869;66196989;1.0;269.0;2011068
66196995;42109869;66196989;1.0;269.0;2011068
66197195;10409;66197189;1.0;269.0;2011068
66197561;46134207;66197540;1.0;269.0;2011068
66197564;46134207;66197540;1.0;269.0;2011068
66197570;20875;66197566;1.0;239.0;2011068
66198867;9381338;66198860;1.0;359.0;2011068
66198891;9381338;66198860;1.0;359.0;2011068
66199301;46134207;66199287;1.0;209.0;2011068
66199302;46134207;66199287;1.0;209.0;2011068
66199326;11873;66199321;1.0;119.0;2011068
66199358;10409;66199346;24.0;4536.0;2011068
66199559;11873;66199552;1.0;119.0;2011068
66199557;19093;66199552;1.0;599.0;2011068
66199594;20875;66199592;1.0;199.0;2011068
66199800;20702;66199753;4.0;740.0;2011068
66201162;20875;66201159;25.0;5975.0;2011068
66201629;20702;66201617;1.0;199.0;2011068
66203355;20702;66203342;1.0;199.0;2011068
66203343;42109869;66203342;1.0;269.0;2011068
66205629;46134207;66205623;1.0;269.0;2011068
66205630;46134207;66205623;1.0;269.0;2011068
66213928;11873;66213923;1.0;119.0;2011068
66216248;11873;66216244;1.0;119.0;2011068
66217897;46134207;66217888;1.0;209.0;2011068
66217898;46134207;66217888;1.0;209.0;2011068
66218292;42109869;66218289;1.0;219.0;2011068
66218293;42109869;66218289;1.0;219.0;2011068
66218773;46134207;66218749;1.0;209.0;2011068
66218782;46134207;66218749;1.0;209.0;2011068
66218783;46134207;66218749;1.0;209.0;2011068
66220276;20702;66220269;1.0;199.0;2011068
66220806;46134207;66220798;1.0;209.0;2011068
66220807;46134207;66220798;1.0;209.0;2011068
66221586;46134207;66221579;1.0;209.0;2011068
66221587;46134207;66221579;1.0;209.0;2011068
66221588;46134207;66221579;1.0;209.0;2011068
66222136;20875;66222135;8.0;1592.0;2011068
66222709;10409;66222706;2.0;378.0;2011068
66223042;42109869;66223037;1.0;219.0;2011068
66223043;42109869;66223037;1.0;219.0;2011068
66223044;42109869;66223037;1.0;219.0;2011068
66223048;42109869;66223037;1.0;219.0;2011068
66223104;20875;66223103;4.0;796.0;2011068
66223212;20875;66223207;1.0;199.0;2011068
66223225;20875;66223207;1.0;199.0;2011068
66223276;42109869;66223272;1.0;219.0;2011068
66223277;42109869;66223272;1.0;219.0;2011068
66223278;42109869;66223272;1.0;219.0;2011068
66223378;46134207;66223351;20.0;4180.0;2011068
66224016;46134207;66224011;24.0;5016.0;2011068
66224288;10409;66224253;48.0;9072.0;2011068
66224308;20875;66224303;5.0;995.0;2011068
66224340;20875;66224328;1.0;199.0;2011068
66224339;46134207;66224328;1.0;209.0;2011068
66224665;10409;66224664;1.0;189.0;2011068
66225148;12800;66225130;1.0;239.0;2011068
66225597;20875;66225593;48.0;9552.0;2011068
66225837;16507;66225832;1.0;499.0;2011068
66225984;10409;66225982;1.0;189.0;2011068
66226340;20875;66226323;10.0;1990.0;2011068
66226478;20875;66226476;1.0;199.0;2011068
66226972;10409;66226965;1.0;189.0;2011068
66226973;10409;66226965;1.0;189.0;2011068
66227617;20875;66227614;1.0;199.0;2011068
66228117;46134207;66228116;1.0;209.0;2011068
66228118;46134207;66228116;1.0;209.0;2011068
66228120;46134207;66228116;1.0;209.0;2011068
66228121;46134207;66228116;1.0;209.0;2011068
66228637;20875;66228625;1.0;199.0;2011068
66229210;14132;66229175;1.0;529.0;2011068
66229291;20875;66229282;6.0;1194.0;2011068
66229454;16507;66229450;1.0;499.0;2011068
66229455;20875;66229450;1.0;199.0;2011068
66229456;20875;66229450;1.0;199.0;2011068
66229610;46134207;66229596;7.0;1463.0;2011068
66229687;10409;66229680;10.0;1890.0;2011068
66230139;20875;66230132;1.0;199.0;2011068
